method_id,method_name,scenario,legitimate_total,legitimate_accepted,legitimate_rejected,attacks_total,attacks_accepted,attacks_rejected,detection_rate,asr,avg_latency_us,std_latency_us,num_trials
1,No Validation,no_attack,10,10.0,0.0,0,0.0,0.0,,,0.2643333148929135,0.1510807653900656,30
1,No Validation,delayed_replay,10,10.0,0.0,1,1.0,0.0,0.0,100.0,0.18848489465502402,0.01687007062384577,30
1,No Validation,multiple_replay,10,10.0,0.0,5,5.0,0.0,0.0,100.0,0.1777777854133294,0.01998722190328433,30
1,No Validation,out_of_order,10,10.0,0.0,10,10.0,0.0,0.0,100.0,0.17900001694215462,0.015558568432180408,30
1,No Validation,counter_skip,10,10.0,0.0,1,1.0,0.0,0.0,100.0,0.2021211857385369,0.012786097881065056,30
2,Nonce-Only,no_attack,10,10.0,0.0,0,0.0,0.0,,,0.37633342799381353,0.12307792814763978,30
2,Nonce-Only,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,0.28030302597802476,0.041218602130691284,30
2,Nonce-Only,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,0.279777806200501,0.051027257910197125,30
2,Nonce-Only,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,0.27183338715985883,0.020781360587961997,30
2,Nonce-Only,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,0.30393939871856035,0.03253194674817028,30
3,Counter-Only,no_attack,10,10.0,0.0,0,0.0,0.0,,,0.28933325059673126,0.024202233924617685,30
3,Counter-Only,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,0.2727272823738696,0.05963699044899267,30
3,Counter-Only,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,0.713999999991049,0.7788710866151132,30
3,Counter-Only,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,0.2621666317281779,0.020954908208854827,30
3,Counter-Only,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,0.2815151068110329,0.022073099159510893,30
4,Hybrid,no_attack,10,10.0,0.0,0,0.0,0.0,,,0.3746666698134504,0.12738036514717063,30
4,Hybrid,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,0.3227272276434991,0.029602709254244138,30
4,Hybrid,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,0.34155552889893037,0.020393291645617026,30
4,Hybrid,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,0.319333281974347,0.02258066817517077,30
4,Hybrid,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,0.3730303543499868,0.026636573068604914,30
