method_id,method_name,scenario,legitimate_total,legitimate_accepted,legitimate_rejected,attacks_total,attacks_accepted,attacks_rejected,detection_rate,asr,avg_latency_us,avg_legit_latency_us,avg_attack_latency_us,num_trials
1,No Validation,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.2999993234407157,2.2999993234407157,0.0,1
1,No Validation,delayed_replay,10,10.0,0.0,1,1.0,0.0,0.0,100.0,2.1181820722466167,2.1200001356191933,2.1000014385208488,1
1,No Validation,multiple_replay,10,10.0,0.0,5,5.0,0.0,0.0,100.0,1.8266660238926609,1.9000006432179362,1.6799967852421105,1
1,No Validation,out_of_order,10,10.0,0.0,10,10.0,0.0,0.0,100.0,1.95500033441931,2.0800020138267428,1.8299986550118774,1
1,No Validation,counter_skip,10,10.0,0.0,1,1.0,0.0,0.0,100.0,1.818184418053451,1.830003020586446,1.6999983927235007,1
2,Nonce-Only,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.819999644998461,2.819999644998461,0.0,1
2,Nonce-Only,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.4090900710275904,2.2699990950059146,3.7999998312443495,1
2,Nonce-Only,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,2.3800001751321056,2.5499997718725353,2.0400009816512465,1
2,Nonce-Only,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,1.849999898695387,2.2199994418770075,1.4800003555137664,1
2,Nonce-Only,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.5818173360841516,2.5599991204217076,2.7999994927085936,1
3,Counter-Only,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.9800015909131616,2.9800015909131616,0.0,1
3,Counter-Only,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.700000715611333,2.6500005333218724,3.2000025385059416,1
3,Counter-Only,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,2.4333319743163884,2.6099980459548533,2.0799998310394585,1
3,Counter-Only,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,2.635000055306591,2.6699999580159783,2.600000152597204,1
3,Counter-Only,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.572727019221268,2.6299996534362435,2.0000006770715117,1
4,Hybrid,no_attack,10,10.0,0.0,0,0.0,0.0,,,3.559998731361702,3.559998731361702,0.0,1
4,Hybrid,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,3.018183633685112,3.0800023523624986,2.3999964469112456,1
4,Hybrid,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,2.6799990640332303,3.0599992896895856,1.9199986127205193,1
4,Hybrid,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,2.094999945256859,2.649999805726111,1.5400000847876072,1
4,Hybrid,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.936364167412235,3.0500006687361747,1.7999991541728377,1
