method_id,method_name,scenario,legitimate_total,legitimate_accepted,legitimate_rejected,attacks_total,attacks_accepted,attacks_rejected,detection_rate,asr,avg_latency_us,std_latency_us,num_trials
1,No Validation,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.4926665840515247,1.5409487909242723,30
1,No Validation,delayed_replay,10,10.0,0.0,1,1.0,0.0,0.0,100.0,1.6560605383181775,0.4589633331630605,30
1,No Validation,multiple_replay,10,10.0,0.0,5,5.0,0.0,0.0,100.0,2.1822223303994783,0.8671975419866946,30
1,No Validation,out_of_order,10,10.0,0.0,10,10.0,0.0,0.0,100.0,1.6973333670951736,0.5123254826497671,30
1,No Validation,counter_skip,10,10.0,0.0,1,1.0,0.0,0.0,100.0,1.8475758031744398,1.2109144839295964,30
2,Nonce-Only,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.9043334264618657,1.660537397982913,30
2,Nonce-Only,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.32181809031207,1.0131444284181002,30
2,Nonce-Only,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,2.2757777090494833,0.708917410346785,30
2,Nonce-Only,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,2.0131665466275686,0.6884322533363142,30
2,Nonce-Only,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.1590908573037297,0.6504913374182018,30
3,Counter-Only,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.173333317235423,0.7741172425705692,30
3,Counter-Only,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.241818318990144,0.940142472420135,30
3,Counter-Only,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,2.633333367864705,1.1456316417468542,30
3,Counter-Only,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,1.9506667255579184,0.6769362638247102,30
3,Counter-Only,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.1600002858604332,0.5868833149715997,30
4,Hybrid,no_attack,10,10.0,0.0,0,0.0,0.0,,,2.524666609436584,0.6580260656125413,30
4,Hybrid,delayed_replay,10,10.0,0.0,1,0.0,1.0,100.0,0.0,2.368787968545362,0.651589948676988,30
4,Hybrid,multiple_replay,10,10.0,0.0,5,0.0,5.0,100.0,0.0,2.1724444458312875,0.3722387269541735,30
4,Hybrid,out_of_order,10,10.0,0.0,10,0.0,10.0,100.0,0.0,2.2701666724363654,0.4593088412357821,30
4,Hybrid,counter_skip,10,10.0,0.0,1,0.0,1.0,100.0,0.0,3.211818164510822,1.2868853506704372,30
