method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
No Validation,no_attack,,,,0.0,0.0,0.19003999477718025,0.010582574893386187,1000
No Validation,delayed_replay,0.0,100.0,0.0,0.0,0.0,0.18257269932126458,0.00619742753666363,1000
No Validation,multiple_replay,0.0,100.0,0.0,0.0,0.0,0.18067998559369394,0.004301730873730988,1000
No Validation,out_of_order,0.0,100.0,0.0,0.0,0.0,0.1850450033089146,0.0034067922514334236,1000
No Validation,counter_skip,0.0,100.0,0.0,0.0,0.0,0.17859094210011375,0.0033946942287266433,1000
No Validation,reset_attack,0.0,100.0,0.0,0.0,0.0,0.18348000667174347,0.003471348661774171,1000
No Validation,desync_attack,0.0,100.0,0.0,0.0,0.0,0.17843000387074426,0.004110505915793934,1000
No Validation,counter_rollback,0.0,100.0,0.0,0.0,0.0,0.17662500104052015,0.0023192538218041463,1000
Nonce-Only,no_attack,,,,1.9599999999999997,0.26857848730649264,0.2645699933054857,0.0025427905616660137,1000
Nonce-Only,delayed_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.2752000198763033,0.009822813540914367,1000
Nonce-Only,multiple_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.26202666049357504,0.004637242635252487,1000
Nonce-Only,out_of_order,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.25672998672234826,0.004632547546695722,1000
Nonce-Only,counter_skip,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.2679544982542707,0.0052106817403991664,1000
Nonce-Only,reset_attack,1.9599999999999997,98.04,0.2685784873064927,1.9599999999999997,0.26857848730649264,0.28168497956357896,0.009077259901746595,1000
Nonce-Only,desync_attack,3.3,96.7,1.1077545288086599,1.8111111111111118,0.27597831777829146,0.29111997864674777,0.011360757204211425,1000
Nonce-Only,counter_rollback,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.2599149796878919,0.0036206872313925306,1000
Counter-Only,no_attack,,,,0.0,0.0,0.2764999881037511,0.004284967899804094,1000
Counter-Only,delayed_replay,100.0,0.0,0.0,0.0,0.0,0.2714908742663366,0.004890135850874276,1000
Counter-Only,multiple_replay,100.0,0.0,0.0,0.0,0.0,0.26415333268232644,0.0038406888738531796,1000
Counter-Only,out_of_order,100.0,0.0,0.0,0.0,0.0,0.2618799437186681,0.004274765479474998,1000
Counter-Only,counter_skip,100.0,0.0,0.0,0.0,0.0,0.2814909160158343,0.015549813067863601,1000
Counter-Only,reset_attack,100.0,0.0,0.0,0.0,0.0,0.27264998279861175,0.0072283535048597155,1000
Counter-Only,desync_attack,100.0,0.0,0.0,0.0,0.0,0.2751500069280155,0.005633095935695201,1000
Counter-Only,counter_rollback,0.0,100.0,0.0,0.0,0.0,0.2817800021148287,0.007197355173413174,1000
Hybrid,no_attack,,,,1.9599999999999997,0.26857848730649264,0.369600007252302,0.011036509800863608,1000
Hybrid,delayed_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.3613909105876122,0.006149284307212137,1000
Hybrid,multiple_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.3392533855124687,0.00519115942125841,1000
Hybrid,out_of_order,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.32267507194774225,0.004900282040407316,1000
Hybrid,counter_skip,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.36300909414421767,0.011165321826657915,1000
Hybrid,reset_attack,99.61,0.39,0.12321296228106064,1.9599999999999997,0.26857848730649264,0.33185498832608573,0.004427490528227655,1000
Hybrid,desync_attack,100.0,0.0,0.0,1.8111111111111118,0.27597831777829146,0.3711900077178143,0.008628774662870316,1000
Hybrid,counter_rollback,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.35814499933621846,0.012278010193932404,1000
